Submission ID,Respondent ID,Submitted at,Store Name,Kya staff nein price change ke baare mein inform kiya?,"Jaane ke pehle kabhi bhi,
kya customer nein,
item price ya total price ke liye bill check kiya?","Price ke baare mein, 
kya customer nein ek bhi word bola?","Kya kya bola? 
(multiple options select kar sakte hain)","Price ke baare mein, 
kya customer nein bina kuch bole, 
koi bhi reaction diya?","Kya kya reaction diye? 
(multiple options select kar sakte hain)",Bill ka kya hua?,Bill Number (if bill bana) or Patient ID (compulsory if bill nahin bana),Optional sawaal - aapki koi raay ya customer ke koi emotions?
xVaBGGy,ja54xQY,2026-05-17 14:41:33,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-154126,Zeno coins me kuch accha sa gift do 
PR5yKNx,PdvE0Ad,2026-05-17 14:46:04,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196558,
WJ5dxEJ,ja54xQY,2026-05-17 14:47:58,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-154127,
Vp5ykDM,pbRdLAZ,2026-05-17 14:55:24,Goregaon,No,No,Yes,"Confirm kiya (eg ""Rate badha hai kya?"")",,,No change. Jaisa ban na tha bana.,ZGORE-394894,
YjWyL9W,ja54xQY,2026-05-17 14:55:29,Colaba,No,No,No,,No,,Customer was arguing because ushke pass company ke taraf se baat message ja rha hai jiske wajah se wo bahut gussa hai aur bol rha hai ki company ke upar case karunga,7488359550,
PR5yMBQ,pbRdLAZ,2026-05-17 14:59:45,Goregaon,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZGORE-394895,
aOYobPX,PdvE0Ad,2026-05-17 15:01:10,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196559,
4axy4j5,PdvE0Ad,2026-05-17 15:09:23,Khar,No,Yes,No,,No,,No change. Jaisa ban na tha bana.,ZKRWT-196560,
dbx1bKr,ja54xQY,2026-05-17 15:15:18,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-154128,
LDWND6l,ja54xQY,2026-05-17 15:15:32,Bandra Hill Road,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-154129,
dbx1bVo,ja54xQY,2026-05-17 15:16:13,Colaba,No,No,No,,Yes,Eye brow upar ki,No change. Jaisa ban na tha bana.,ZCLBA-154130,
KplA7lM,ja54xQY,2026-05-18 05:20:30,Colaba,No,No,No,,No,,No change. Jaisa ban na tha bana.,ZCLBA-154148,
